id,url,created_date,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,DVD_release_date,list_of_genres,abridged_list_of_cast,abridged_list_of_directors
c56776aa-ae77-43b1-9491-30db53dffe01,https://www.rottentomatoes.com/m/chickenhare_and_the_hamster_of_darkness,2022-06-21 17:21:19.056089,,93%,1h 31m,,,,"Jun 10, 2022","Adventure, Comedy, Animation","Danny Fehsenfeld, Donte Paris, Joe Ochman, Ben Stassen, David Collard, Ben Stassen",Ben Stassen
c7fa70f8-d283-4776-a99d-dd98e845e3c1,https://www.rottentomatoes.com/m/vice_2018,2022-06-21 17:21:19.122009,65%,60%,2h 12m,R (Some Violent Images|Language),Annapurna Pictures,"Dec 25, 2018 wide","Apr 2, 2019","Biography, Drama","Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Alison Pill, Eddie Marsan",Adam McKay
be831a64-864b-4bb0-8139-87e791215750,https://www.rottentomatoes.com/m/lost_world_jurassic_park,2022-06-21 17:21:19.187462,53%,51%,2h 14m,PG-13 (Intense Sci-Fi Violence|Intense Sci-Fi Terror),Universal Pictures,"May 23, 1997 wide","Nov 3, 2009","Adventure, Action","Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Arliss Howard, Richard Attenborough, Vince Vaughn",Steven Spielberg
3de498ab-dc3b-4984-b590-a0f65a6c5107,https://www.rottentomatoes.com/m/aheds_knee,2022-06-21 17:21:19.228252,74%,43%,1h 49m,,Kino Lorber,"Mar 18, 2022 limited","Jun 14, 2022",Drama,"Avshalom Pollak, Nur Fibak, Lidor Edri, Yoram Honig, Yonatan Kugler, Naama Preis",Nadav Lapid
52451774-81e2-4b21-8f6f-fa923c463c68,https://www.rottentomatoes.com/m/interstellar_2014,2022-06-21 17:21:19.339412,72%,86%,2h 45m,PG-13 (Some Intense Perilous Action|Brief Strong Language),Paramount Pictures,"Nov 7, 2014 wide","Mar 31, 2015","Adventure, Action","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine, Bill Irwin, Ellen Burstyn",Christopher Nolan
212d661f-c6c1-4fdc-bdab-86fa6d8321ee,https://www.rottentomatoes.com/m/good_mourning,2022-06-21 17:21:19.381388,0%,73%,,,Open Road Films,"May 20, 2022 limited","May 20, 2022",Comedy,"Machine Gun Kelly, Mod Sun, Becky G, Dove Cameron, Whitney Cummings, GaTa","Machine Gun Kelly , Mod Sun"
dd675609-2307-4e60-8673-dc55526b8587,https://www.rottentomatoes.com/m/dinner_in_america,2022-06-21 17:21:19.473511,91%,84%,1h 46m,,Best & Final Releasing,"May 27, 2022 limited","Jun 7, 2022","Comedy, Drama","Kyle Gallner, Emily Skeggs, Griffin Gluck, Pat Healy, Mary Lynn Rajskub, David Yow",Adam Rehmeier
3a53d910-cc5e-4e7a-9d7c-794199d395dc,https://www.rottentomatoes.com/m/senior_year,2022-06-21 17:21:19.495115,24%,48%,1h 52m,R (Brief Teen Drinking/Drug Use|Sexual Material|Language),,,"May 13, 2022",Comedy,"Rebel Wilson, Zoe Chao, Sam Richardson, Mary Holland, Justin Hartley, Chris Parnell",Alex Hardcastle
a1986691-6d26-429c-a727-42f16695948e,https://www.rottentomatoes.com/m/the_last_duel_2021,2022-06-21 17:21:19.517661,85%,81%,2h 33m,R (Sexual Assault|Language|Sexual Content|Some Graphic Nudity|Strong Violence),20th Century Studios,"Oct 15, 2021 wide","Nov 30, 2021","History, Drama","Matt Damon, Adam Driver, Jodie Comer, Ben Affleck, Marton Csokas, Harriet Walter",Ridley Scott
28cdab13-2697-4d34-a77c-639925c8cb99,https://www.rottentomatoes.com/m/candyman_2021,2022-06-21 17:21:19.545690,84%,72%,1h 31m,R (Language|Bloody Horror Violence|Some Sexual References),Universal Pictures,"Aug 27, 2021 wide","Sep 16, 2021",Horror,"Yahya Abdul-Mateen II, Teyonah Parris, Nathan Stewart-Jarrett, Colman Domingo, Kyle Kaminsky, Vanessa Williams",Nia DaCosta
2556ef36-8fc0-4173-8ba1-bfde75892f45,https://www.rottentomatoes.com/m/trees_of_peace,2022-06-21 17:21:19.595526,,88%,1h 37m,,,,"Jun 10, 2022",Drama,"Eliane Umuhire, Charmaine Bingwa, Ella Cannon, Bola Koleosho, Tongai Arnold Chirisa, Alanna Brown",Alanna Brown
8dea8405-fc7c-49d4-ac67-55250d637814,https://www.rottentomatoes.com/m/pig_2021,2022-06-21 17:21:19.717160,96%,84%,1h 32m,R,Neon,"Jul 16, 2021 wide","Aug 3, 2021",Drama,"Nicolas Cage, Alex Wolff, Adam Arkin, Nina Belforte, Cassandra Violet, Julia Bray",Michael Sarnoski
