id,created_date,year,category,name of actor,name of film
749ceac1-1f31-4b09-92a5-276f2a531d78,2022-06-21 15:14:30.585421,1933,Cinematography,Dr. Jekyll and Mr. Hyde,Karl Struss
69208f16-15ad-4eca-8e34-e681c39128d0,2022-06-21 15:14:30.586340,1933,Directing,Bad Girl,Frank Borzage
867aac0e-c04b-41ab-a009-da34907413ed,2022-06-21 15:14:30.586948,1933,Directing,The Champ,King Vidor
da86a39d-8ba7-4aec-8573-ef1a62415c1f,2022-06-21 15:14:30.587541,1933,Directing,Shanghai Express,Josef Von Sternberg
da501f2b-5a84-4762-8761-52509be90bad,2022-06-21 15:14:30.588609,1933,Outstanding Production,Grand Hotel,Metro-Goldwyn-Mayer
8ee7d986-56f8-4838-a126-42d3a193ac52,2022-06-21 15:14:30.589393,1933,Outstanding Production,Arrowsmith,Samuel Goldwyn Productions
a0c004a8-2fbc-439a-84bc-0395b0e5f2eb,2022-06-21 15:14:30.590036,1933,Outstanding Production,Bad Girl,Fox
070069d7-6ca7-494a-9048-a0b8fb3204ac,2022-06-21 15:14:30.590612,1933,Outstanding Production,The Champ,Metro-Goldwyn-Mayer
2ed9e91f-7ea6-4c57-ba04-d6b9f3d73523,2022-06-21 15:14:30.591186,1933,Outstanding Production,Five Star Final,First National
4638a88c-9ea6-4473-ae98-73856421f58b,2022-06-21 15:14:30.591948,1933,Outstanding Production,One Hour with You,Paramount Publix
56428f39-27b0-4929-9d5d-a6bb68ef6832,2022-06-21 15:14:30.592637,1933,Outstanding Production,Shanghai Express,Paramount Publix
3150891a-f41a-4a0e-9c45-336b75b24ef8,2022-06-21 15:14:30.593511,1933,Outstanding Production,The Smiling Lieutenant,Paramount Publix
c9f7b06d-fc5e-42c1-b644-c8d10ab78d63,2022-06-21 15:14:30.594496,1933,Short Subject (Cartoon),Flowers and Trees,"Walt Disney, Producer"
6c936691-4329-4f0d-85a1-f794373d4a8b,2022-06-21 15:14:30.595592,1933,Short Subject (Cartoon),It's Got Me Again,"Leon Schlesinger, Producer"
9277a466-3677-44b9-b409-876317b9e455,2022-06-21 15:14:30.596434,1933,Short Subject (Cartoon),Mickey's Orphans,"Walt Disney, Producer"
61a4c1c4-4c4b-4603-af00-8cbdf5a64e3e,2022-06-21 15:14:30.597462,1933,Short Subject (Comedy),The Music Box,"Hal Roach, Producer"
37fcd2f1-eb0a-491c-96d3-6a6d49674473,2022-06-21 15:14:30.598222,1933,Short Subject (Comedy),The Loud Mouth,"Mack Sennett, Producer"
3dd2233b-a7ab-44d7-a82b-f0e0ace00fe8,2022-06-21 15:14:30.598923,1933,Short Subject (Comedy),Scratch-As-Catch-Can,RKO Radio
c98bef14-8e78-4381-a8b1-f57c35f480d4,2022-06-21 15:14:30.600162,1933,Short Subject (Novelty),Wrestling Swordfish,"Mack Sennett, Producer"
9f1719e1-1bf2-443e-a640-e7b0566acb9e,2022-06-21 15:14:30.602913,1933,Short Subject (Novelty),Screen Souvenirs,Paramount Publix
299071de-1d7d-44fd-8469-7dd537efa6bd,2022-06-21 15:14:30.603600,1933,Short Subject (Novelty),Swing High,Metro-Goldwyn-Mayer
