year,actor,character,film,win
Eddie Murphy,Professor Sherman Klump,/ Buddy Love / Papa Klump / Mama Klump / Granny Klump / Ernie Klump / Lance Perkins,The Nutty Professor,True
1997,Jack Nicholson,Melvin Udall,As Good as It Gets,True
1997,Jim Carrey,Fletcher Reed,Liar Liar,False
1997,Dustin Hoffman,Stanley Motss,Wag the Dog,False
1997,Samuel L. Jackson,Ordell Robbie,Jackie Brown,False
1997,Kevin Kline,Howard Brackett,In & Out,False
1998,Michael Caine,Ray Say,Little Voice,True
1998,Antonio Banderas,Alejandro Murrieta / Zorro,The Mask of Zorro,False
1998,Warren Beatty,Senator Jay Billington Bulworth,Bulworth,False
1998,John Travolta,Governor Jack Stanton,Primary Colors,False
1998,Robin Williams,"Dr. Hunter ""Patch"" Adams",Patch Adams,False
1998,Robert De Niro,Paul Vitti,Analyze This,False
1998,Rupert Everett,Lord Arthur Goring,An Ideal Husband,False
1998,Hugh Grant,"William ""Will"" Thacker",Notting Hill,False
1998,Sean Penn,Emmet Ray,Sweet and Lowdown,False
2000,George Clooney,Ulysses Everett McGill,"O Brother, Where Art Thou?",True
2000,Jim Carrey,The Grinch,How the Grinch Stole Christmas,False
2000,John Cusack,Rob Gordon,High Fidelity,False
2000,Robert De Niro,Jack Byrnes,Meet the Parents,False
2000,Mel Gibson,Nick Marshall,What Women Want,False
2001,Gene Hackman,Royal Tenenbaum,The Royal Tenenbaums,True
2001,Hugh Jackman,Leopold Hausmann,Kate & Leopold,False
2001,Ewan McGregor,Christian,Moulin Rouge!,False
2001,John Cameron Mitchell,Hedwig Robinson,Hedwig and the Angry Inch,False
2001,Billy Bob Thornton,Terry Lee Collins,Bandits,False
2002,Richard Gere,Billy Flynn,Chicago,True
Nicolas Cage,Charlie Kaufman,/ Donald Kaufman,Adaptation.,True
Nicolas Cage,Kieran Culkin,"Jason ""Igby"" Slocumb Jr.",Igby Goes Down,False
Nicolas Cage,Hugh Grant,Will Freeman,About a Boy,False
Nicolas Cage,Adam Sandler,Barry Egan,Punch-Drunk Love,False
2003,Bill Murray,Bob Harris,Lost in Translation,True
2003,Jack Black,Dewey Finn,School of Rock,False
2003,Johnny Depp,Captain Jack Sparrow,Pirates of the Caribbean: The Curse of the Black Pearl,False
2003,Jack Nicholson,Harry Sanborn,Something's Gotta Give,False
2003,Billy Bob Thornton,Willie T. Stokes,Bad Santa,False
2004,Jamie Foxx,Ray Charles,Ray,True
2004,Jim Carrey,Joel Barish,Eternal Sunshine of the Spotless Mind,False
2004,Paul Giamatti,Miles Raymond,Sideways,False
2004,Kevin Kline,Cole Porter,De-Lovely,False
2004,Kevin Spacey,Bobby Darin,Beyond the Sea,False
2005,Joaquin Phoenix,Johnny Cash,Walk the Line,True
2005,Pierce Brosnan,Julian Noble,The Matador,False
2005,Jeff Daniels,Bernard Berkman,The Squid and the Whale,False
2005,Johnny Depp,Willy Wonka,Charlie and the Chocolate Factory,False
2005,Nathan Lane,Max Bialystock,The Producers,False
2005,Cillian Murphy,"Patrick ""Kitten"" Braden",Breakfast on Pluto,False
2006,Sacha Baron Cohen,Borat Sagdiyev,Borat,True
2006,Johnny Depp,Captain Jack Sparrow,Pirates of the Caribbean: Dead Man's Chest,False
2006,Aaron Eckhart,Nick Naylor,Thank You for Smoking,False
2006,Chiwetel Ejiofor,Lola Carter,Kinky Boots,False
2006,Will Ferrell,Harold Crick,Stranger than Fiction,False
2007,Johnny Depp,Sweeney Todd / Benjamin Barker,Sweeney Todd: The Demon Barber of Fleet Street,True
2007,Ryan Gosling,Lars Lindstrom,Lars and the Real Girl,False
2007,Tom Hanks,Charlie Wilson,Charlie Wilson's War,False
2007,Philip Seymour Hoffman,Jon Savage,The Savages,False
2007,John C. Reilly,Dewey Cox,Walk Hard: The Dewey Cox Story,False
2008,Colin Farrell,Ray,In Bruges,True
2008,Javier Bardem,Juan Antonio,Vicky Cristina Barcelona,False
2008,James Franco,Saul Silver,Pineapple Express,False
2008,Brendan Gleeson,Ken Daley,In Bruges,False
2008,Dustin Hoffman,Harvey Shine,Last Chance Harvey,False
2009,Robert Downey Jr.,Sherlock Holmes,Sherlock Holmes,True
2009,Matt Damon,Mark Whitacre,The Informant!,False
2009,Daniel Day-Lewis,Guido Contini,Nine,False
2009,Joseph Gordon-Levitt,Tom Hansen,(500) Days of Summer,False
2009,Michael Stuhlbarg,Larry Gopnik,A Serious Man,False
2010,Paul Giamatti,Barney Panofsky,Barney's Version,True
2010,Johnny Depp,The Mad Hatter,Alice in Wonderland,False
2010,Frank Tupelo,The Tourist,Alice in Wonderland,False
2010,Jake Gyllenhaal,Jamie Randall,Love & Other Drugs,False
2010,Kevin Spacey,Jack Abramoff,Casino Jack,False
2011,Jean Dujardin,George Valentin,The Artist,True
2011,Brendan Gleeson,Sgt. Gerry Boyle,The Guard,False
2011,Joseph Gordon-Levitt,Adam Lerner,50/50,False
2011,Ryan Gosling,Jacob Palmer,"Crazy, Stupid, Love",False
2011,Owen Wilson,Gil Pender,Midnight in Paris,False
2012,Hugh Jackman,Jean Valjean,Les Misérables,True
2012,Jack Black,Bernie Tiede,Bernie,False
2012,Bradley Cooper,"Patrizio ""Pat"" Solitano Jr.",Silver Linings Playbook,False
2012,Ewan McGregor,Dr. Alfred Jones,Salmon Fishing in the Yemen,False
2012,Bill Murray,Franklin D. Roosevelt,Hyde Park on Hudson,False
2013,Leonardo DiCaprio,Jordan Belfort,The Wolf of Wall Street,True
2013,Christian Bale,Irving Rosenfeld,American Hustle,False
2013,Bruce Dern,"Woodrow ""Woody"" Grant",Nebraska,False
2013,Oscar Isaac,Llewyn Davis,Inside Llewyn Davis,False
2013,Joaquin Phoenix,Theodore Twombly,Her,False
2014,Michael Keaton,Riggan Thomson,Birdman,True
2014,Ralph Fiennes,Monsieur Gustave H.,The Grand Budapest Hotel,False
2014,Bill Murray,Vincent MacKenna,St. Vincent,False
2014,Joaquin Phoenix,"Larry ""Doc"" Sportello",Inherent Vice,False
2014,Christoph Waltz,Walter Keane,Big Eyes,False
2015,Matt Damon,Mark Watney,The Martian,True
2015,Christian Bale,Michael Burry,The Big Short,False
2015,Steve Carell,Mark Baum,The Big Short,False
2015,Al Pacino,Danny Collins,Danny Collins,False
2015,Mark Ruffalo,Cameron Stuart,Infinitely Polar Bear,False
2016,Ryan Gosling,Sebastian Wilder,La La Land,True
2016,Colin Farrell,David Matthews,The Lobster,False
2016,Hugh Grant,St. Clair Bayfield,Florence Foster Jenkins,False
2016,Jonah Hill,Efraim Diveroli,War Dogs,False
2016,Ryan Reynolds,Wade Wilson / Deadpool,Deadpool,False
2017,James Franco,Tommy Wiseau,The Disaster Artist,True
2017,Steve Carell,Bobby Riggs,Battle of the Sexes,False
2017,Ansel Elgort,"Miles ""Baby""",Baby Driver,False
2017,Hugh Jackman,P.T. Barnum,The Greatest Showman,False
2017,Daniel Kaluuya,Chris Washington,Get Out,False
2018,Christian Bale,Dick Cheney,Vice,True
2018,Lin-Manuel Miranda,Jack,Mary Poppins Returns,False
2018,Viggo Mortensen,"Frank ""Tony Lip"" Vallelonga",Green Book,False
2018,Robert Redford,Forrest Tucker,The Old Man & the Gun,False
2018,John C. Reilly,Oliver Hardy,Stan & Ollie,False
2019,Taron Egerton,Elton John,Rocketman,True
2019,Daniel Craig,Benoit Blanc,Knives Out,False
2019,Roman Griffin Davis,"Johannes ""Jojo"" Betzler",Jojo Rabbit,False
